employee_id,employee_name,age,salary,company_name,department,city,joining_date,email
2.0,Employee_2,22.0,30000.0,TechNova,HR,Delhi,,employee2@company.com
5.0,Employee_5,45.0,100800.0,DataWorks,Unknown,Mumbai,,employee5@company.com
6.0,Employee_6,25.0,100000.0,DataWorks,Unknown,Hyderabad,,employee6@company.com
7.0,Employee_7,40.0,30000.0,Unknown,HR,Pune,2022-03-12,employee7@company.com
8.0,Employee_8,45.0,60000.0,InnoSoft,Unknown,Chennai,,employee8@company.com
9.0,Employee_9,30.0,100000.0,Unknown,HR,Bangalore,2022-03-12,employee9@company.com
11.0,Employee_11,25.0,45000.0,NextGen,Unknown,Hyderabad,2020-05-15,employee11@company.com
14.0,Employee_14,30.0,-5000.0,Unknown,Marketing,Pune,2022-03-12,employee14@company.com
16.0,Employee_16,45.0,30000.0,DataWorks,Marketing,Bangalore,2022-03-12,invalid_email
18.0,Employee_18,35.0,45000.0,DataWorks,Unknown,Bangalore,,employee18@company.com
19.0,Employee_19,45.0,80000.0,TechNova,IT,Hyderabad,,employee19@company.com
20.0,Employee_20,25.0,30000.0,Unknown,Marketing,Pune,,employee20@company.com
22.0,Employee_22,40.0,80000.0,Unknown,Unknown,Hyderabad,2022-03-12,employee22@company.com
23.0,Employee_23,25.0,60000.0,TechNova,Sales,Delhi,,employee23@company.com
24.0,Employee_24,35.0,30000.0,TechNova,Unknown,Hyderabad,2019-01-10,employee24@company.com
26.0,Employee_26,25.0,50738.498789346246,CloudNine,Finance,Unknown,2022-03-12,employee26@company.com
27.0,Employee_27,25.0,30000.0,CloudNine,Unknown,Hyderabad,,employee27@company.com
33.0,Employee_33,30.0,30000.0,NextGen,IT,Bangalore,2019-01-10,employee33@company.com
34.0,Employee_34,25.0,100000.0,InnoSoft,Sales,Mumbai,,invalid_email
35.0,Employee_35,45.0,60000.0,InnoSoft,Unknown,Hyderabad,2020-05-15,employee35@company.com
38.0,Employee_38,30.0,80000.0,Unknown,Sales,Chennai,,employee38@company.com
40.0,Employee_40,40.0,60000.0,NextGen,HR,Hyderabad,2020-05-15,employee40@company.com
41.0,Employee_41,40.0,-5000.0,TechNova,IT,Unknown,,employee41@company.com
,Employee_42,40.0,45000.0,Unknown,Marketing,Unknown,,invalid_email
43.0,Employee_43,30.0,100000.0,TechNova,Unknown,Hyderabad,,employee43@company.com
47.0,Employee_47,35.0,60000.0,InnoSoft,Unknown,Pune,2022-03-12,employee47@company.com
49.0,Employee_49,25.0,-5000.0,DataWorks,Finance,Unknown,,employee49@company.com
50.0,Employee_50,25.0,60000.0,InnoSoft,Sales,Chennai,2019-01-10,employee50@company.com
51.0,Employee_51,45.0,80000.0,NextGen,Sales,Pune,2022-03-12,employee51@company.com
53.0,Employee_53,45.0,50738.498789346246,Unknown,IT,Chennai,,employee53@company.com
54.0,Employee_54,40.0,100000.0,InnoSoft,HR,Unknown,,employee54@company.com
55.0,Employee_55,40.0,80000.0,NextGen,Unknown,Mumbai,2021-07-20,employee55@company.com
56.0,Employee_56,45.0,80000.0,CloudNine,Marketing,Delhi,,employee56@company.com
57.0,Employee_57,30.0,50738.498789346246,TechNova,Finance,Hyderabad,2019-01-10,employee57@company.com
58.0,Employee_58,35.0,-5000.0,InnoSoft,HR,Mumbai,2019-01-10,employee58@company.com
59.0,Employee_59,25.0,80000.0,CloudNine,Unknown,Delhi,,employee59@company.com
60.0,Employee_60,22.0,-5000.0,Unknown,Unknown,Pune,,employee60@company.com
65.0,Employee_65,45.0,100000.0,TechNova,HR,Bangalore,2020-05-15,employee65@company.com
67.0,Employee_67,22.0,-5000.0,Unknown,Sales,Unknown,2022-03-12,invalid_email
71.0,Employee_71,22.0,60000.0,CloudNine,Finance,Delhi,2022-03-12,employee71@company.com
73.0,Employee_73,35.0,50738.498789346246,TechNova,Unknown,Mumbai,,invalid_email
74.0,Employee_74,30.0,45000.0,InnoSoft,Marketing,Pune,,employee74@company.com
75.0,Employee_75,45.0,45000.0,NextGen,Sales,Pune,,employee75@company.com
76.0,Employee_76,22.0,60000.0,NextGen,Unknown,Unknown,2022-03-12,employee76@company.com
77.0,Employee_77,35.0,30000.0,Unknown,Unknown,Chennai,,employee77@company.com
78.0,Employee_78,22.0,60000.0,NextGen,Marketing,Hyderabad,2019-01-10,employee78@company.com
80.0,Employee_80,40.0,100000.0,Unknown,Sales,Unknown,2022-03-12,employee80@company.com
81.0,Employee_81,35.0,-5000.0,TechNova,Finance,Unknown,2020-05-15,employee81@company.com
82.0,Employee_82,45.0,30000.0,CloudNine,Unknown,Hyderabad,2020-05-15,employee82@company.com
83.0,Employee_83,40.0,100000.0,Unknown,Finance,Mumbai,,employee83@company.com
86.0,Employee_86,45.0,80000.0,Unknown,Sales,Hyderabad,2021-07-20,employee86@company.com
87.0,Employee_87,25.0,50738.498789346246,InnoSoft,Finance,Pune,,employee87@company.com
88.0,Employee_88,35.0,50738.498789346246,CloudNine,Finance,Chennai,2019-01-10,employee88@company.com
89.0,Employee_89,40.0,30000.0,Unknown,Sales,Bangalore,2021-07-20,invalid_email
90.0,Employee_90,30.0,50738.498789346246,Unknown,Unknown,Unknown,2019-01-10,employee90@company.com
92.0,Employee_92,25.0,100000.0,Unknown,Unknown,Mumbai,2020-05-15,employee92@company.com
93.0,Employee_93,35.0,30000.0,NextGen,Unknown,Unknown,,employee93@company.com
95.0,Employee_95,25.0,-5000.0,InnoSoft,Unknown,Delhi,2021-07-20,employee95@company.com
96.0,Employee_96,25.0,45000.0,TechNova,Marketing,Unknown,,employee96@company.com
97.0,Employee_97,40.0,50738.498789346246,Unknown,Marketing,Pune,,employee97@company.com
98.0,Employee_98,35.0,80000.0,TechNova,Sales,Delhi,,employee98@company.com
99.0,Employee_99,22.0,45000.0,Unknown,Finance,Chennai,2022-03-12,employee99@company.com
100.0,Employee_100,40.0,100000.0,NextGen,Marketing,Unknown,2019-01-10,employee100@company.com
101.0,Employee_101,40.0,30000.0,TechNova,HR,Mumbai,,employee101@company.com
105.0,Employee_105,40.0,60000.0,TechNova,Unknown,Unknown,,employee105@company.com
107.0,Employee_107,22.0,45000.0,DataWorks,Sales,Bangalore,2021-07-20,employee107@company.com
108.0,Employee_108,35.0,50738.498789346246,InnoSoft,Finance,Mumbai,,employee108@company.com
109.0,Employee_109,25.0,80000.0,TechNova,Unknown,Bangalore,2022-03-12,employee109@company.com
114.0,Employee_114,45.0,-5000.0,InnoSoft,Unknown,Delhi,,employee114@company.com
115.0,Employee_115,45.0,50738.498789346246,CloudNine,Unknown,Unknown,2022-03-12,employee115@company.com
116.0,Employee_116,30.0,80000.0,TechNova,HR,Hyderabad,,employee116@company.com
118.0,Employee_118,40.0,60000.0,NextGen,Unknown,Unknown,,invalid_email
120.0,Employee_120,40.0,45000.0,Unknown,IT,Unknown,2019-01-10,employee120@company.com
121.0,Employee_121,30.0,50738.498789346246,DataWorks,IT,Mumbai,2021-07-20,employee121@company.com
122.0,Employee_122,30.0,45000.0,NextGen,Marketing,Bangalore,2020-05-15,employee122@company.com
123.0,Employee_123,35.0,80000.0,NextGen,HR,Delhi,2022-03-12,employee123@company.com
127.0,Employee_127,40.0,30000.0,NextGen,Unknown,Mumbai,,employee127@company.com
128.0,Employee_128,35.0,100000.0,Unknown,Finance,Delhi,,employee128@company.com
129.0,Employee_129,30.0,50738.498789346246,TechNova,Unknown,Mumbai,2021-07-20,employee129@company.com
130.0,Employee_130,30.0,30000.0,DataWorks,Finance,Unknown,2020-05-15,employee130@company.com
131.0,Employee_131,45.0,100000.0,NextGen,Finance,Bangalore,2021-07-20,employee131@company.com
132.0,Employee_132,40.0,50738.498789346246,Unknown,Finance,Pune,2022-03-12,employee132@company.com
135.0,Employee_135,35.0,80000.0,TechNova,Sales,Hyderabad,,employee135@company.com
136.0,Employee_136,40.0,50738.498789346246,CloudNine,IT,Bangalore,2019-01-10,employee136@company.com
137.0,Employee_137,25.0,45000.0,NextGen,HR,Unknown,2022-03-12,employee137@company.com
139.0,Employee_139,40.0,30000.0,Unknown,Finance,Delhi,2022-03-12,employee139@company.com
140.0,Employee_140,45.0,100000.0,Unknown,Finance,Mumbai,2022-03-12,employee140@company.com
142.0,Employee_142,35.0,30000.0,Unknown,Unknown,Delhi,,employee142@company.com
143.0,Employee_143,30.0,-5000.0,NextGen,IT,Chennai,,employee143@company.com
144.0,Employee_144,30.0,30000.0,Unknown,Unknown,Mumbai,2020-05-15,invalid_email
145.0,Employee_145,45.0,30000.0,InnoSoft,Finance,Mumbai,2020-05-15,employee145@company.com
148.0,Employee_148,25.0,80000.0,Unknown,Marketing,Pune,2019-01-10,employee148@company.com
150.0,Employee_150,25.0,-5000.0,Unknown,Unknown,Delhi,2022-03-12,employee150@company.com
152.0,Employee_152,30.0,50738.498789346246,CloudNine,IT,Pune,,invalid_email
153.0,Employee_153,45.0,-5000.0,InnoSoft,Sales,Mumbai,,employee153@company.com
155.0,Employee_155,40.0,60000.0,TechNova,Sales,Delhi,2020-05-15,employee155@company.com
158.0,Employee_158,45.0,60000.0,TechNova,HR,Bangalore,,employee158@company.com
159.0,Employee_159,22.0,30000.0,Unknown,Sales,Delhi,2022-03-12,employee159@company.com
160.0,Employee_160,45.0,-5000.0,NextGen,Sales,Pune,2019-01-10,employee160@company.com
163.0,Employee_163,40.0,30000.0,InnoSoft,Marketing,Mumbai,2019-01-10,employee163@company.com
164.0,Employee_164,40.0,60000.0,DataWorks,IT,Mumbai,2022-03-12,employee164@company.com
165.0,Employee_165,35.0,100000.0,NextGen,Unknown,Hyderabad,2019-01-10,employee165@company.com
168.0,Employee_168,25.0,45000.0,CloudNine,Sales,Unknown,,invalid_email
169.0,Employee_169,35.0,60000.0,Unknown,HR,Pune,,employee169@company.com
170.0,Employee_170,45.0,60000.0,Unknown,Unknown,Bangalore,2020-05-15,employee170@company.com
171.0,Employee_171,30.0,-5000.0,Unknown,Unknown,Pune,2020-05-15,employee171@company.com
177.0,Employee_177,25.0,100000.0,Unknown,HR,Mumbai,2020-05-15,employee177@company.com
178.0,Employee_178,30.0,60000.0,DataWorks,Finance,Unknown,2022-03-12,employee178@company.com
179.0,Employee_179,45.0,30000.0,DataWorks,IT,Unknown,2021-07-20,employee179@company.com
180.0,Employee_180,30.0,60000.0,TechNova,Sales,Bangalore,2021-07-20,employee180@company.com
181.0,Employee_181,30.0,100000.0,Unknown,IT,Chennai,,employee181@company.com
183.0,Employee_183,35.0,60000.0,Unknown,Marketing,Delhi,2020-05-15,employee183@company.com
184.0,Employee_184,25.0,100000.0,Unknown,Sales,Mumbai,,employee184@company.com
186.0,Employee_186,35.0,80000.0,NextGen,Finance,Unknown,2020-05-15,employee186@company.com
192.0,Employee_192,45.0,30000.0,Unknown,Unknown,Hyderabad,,employee192@company.com
195.0,Employee_195,35.0,80000.0,Unknown,Unknown,Unknown,2019-01-10,employee195@company.com
196.0,Employee_196,22.0,50738.498789346246,NextGen,Sales,Delhi,,employee196@company.com
197.0,Employee_197,35.0,100000.0,CloudNine,HR,Pune,,employee197@company.com
199.0,Employee_199,45.0,60000.0,Unknown,IT,Hyderabad,,invalid_email
200.0,Employee_200,25.0,-5000.0,NextGen,Unknown,Hyderabad,2020-05-15,invalid_email
201.0,Employee_201,30.0,-5000.0,Unknown,Unknown,Unknown,,employee201@company.com
204.0,Employee_204,22.0,-5000.0,Unknown,Finance,Chennai,2019-01-10,employee204@company.com
206.0,Employee_206,25.0,50738.498789346246,CloudNine,IT,Unknown,,employee206@company.com
207.0,Employee_207,25.0,30000.0,DataWorks,Unknown,Chennai,2021-07-20,employee207@company.com
209.0,Employee_209,22.0,30000.0,Unknown,Unknown,Unknown,2021-07-20,employee209@company.com
210.0,Employee_210,22.0,45000.0,Unknown,Sales,Unknown,2019-01-10,employee210@company.com
211.0,Employee_211,45.0,80000.0,NextGen,IT,Bangalore,,employee211@company.com
212.0,Employee_212,25.0,100000.0,InnoSoft,Sales,Hyderabad,2022-03-12,employee212@company.com
213.0,Employee_213,22.0,50738.498789346246,InnoSoft,Marketing,Unknown,,employee213@company.com
214.0,Employee_214,35.0,100000.0,DataWorks,Unknown,Unknown,2020-05-15,employee214@company.com
216.0,Employee_216,40.0,-5000.0,InnoSoft,Unknown,Bangalore,,employee216@company.com
217.0,Employee_217,30.0,45000.0,Unknown,Marketing,Mumbai,2021-07-20,employee217@company.com
221.0,Employee_221,22.0,-5000.0,TechNova,Sales,Bangalore,2021-07-20,employee221@company.com
222.0,Employee_222,45.0,100000.0,DataWorks,Unknown,Pune,2021-07-20,employee222@company.com
223.0,Employee_223,40.0,100000.0,NextGen,IT,Bangalore,,employee223@company.com
224.0,Employee_224,45.0,-5000.0,NextGen,IT,Mumbai,2019-01-10,invalid_email
225.0,Employee_225,35.0,-5000.0,NextGen,Marketing,Mumbai,2022-03-12,employee225@company.com
226.0,Employee_226,40.0,80000.0,InnoSoft,Unknown,Unknown,2021-07-20,employee226@company.com
228.0,Employee_228,45.0,80000.0,InnoSoft,Unknown,Hyderabad,,employee228@company.com
229.0,Employee_229,40.0,80000.0,InnoSoft,HR,Pune,2019-01-10,employee229@company.com
230.0,Employee_230,35.0,-5000.0,InnoSoft,Unknown,Hyderabad,,employee230@company.com
232.0,Employee_232,35.0,45000.0,NextGen,Finance,Mumbai,2019-01-10,employee232@company.com
236.0,Employee_236,25.0,80000.0,DataWorks,Unknown,Hyderabad,,employee236@company.com
239.0,Employee_239,40.0,100000.0,DataWorks,Sales,Unknown,,employee239@company.com
246.0,Employee_246,40.0,100000.0,CloudNine,HR,Delhi,2021-07-20,employee246@company.com
247.0,Employee_247,40.0,-5000.0,DataWorks,Unknown,Delhi,,employee247@company.com
248.0,Employee_248,40.0,60000.0,TechNova,Sales,Unknown,2022-03-12,employee248@company.com
249.0,Employee_249,40.0,30000.0,DataWorks,Unknown,Pune,2021-07-20,employee249@company.com
