employee_id,employee_name,age,salary,company_name,department,city,joining_date,email.
1.0,,40.0,45000.0,InnoSoft,HR,Pune,,employee1@company.com
2.0,Employee_2,22.0,30000.0,TechNova,HR,Delhi,invalid_date,employee2@company.com
3.0,Employee_3,150.0,80000.0,InnoSoft,Marketing,Chennai,,employee3@company.com
4.0,Employee_4,,60000.0,DataWorks,HR,Delhi,,employee4@company.com
5.0,Employee_5,45.0,100000.0,DataWorks,,Mumbai,,employee5@company.com
6.0,Employee_6,25.0,100000.0,DataWorks,,Hyderabad,invalid_date,employee6@company.com
7.0,Employee_7,40.0,30000.0,,HR,Pune,2022-03-12,employee7@company.com
8.0,Employee_8,45.0,60000.0,InnoSoft,,Chennai,,employee8@company.com
9.0,Employee_9,30.0,100000.0,,HR,Bangalore,2022-03-12,employee9@company.com
10.0,Employee_10,150.0,45000.0,,Finance,Mumbai,2020-05-15,employee10@company.com
11.0,Employee_11,25.0,45000.0,NextGen,,Hyderabad,2020-05-15,employee11@company.com
12.0,Employee_12,-1.0,45000.0,DataWorks,HR,Delhi,,employee12@company.com
13.0,Employee_13,,60000.0,InnoSoft,HR,,2019-01-10,employee13@company.com
14.0,Employee_14,30.0,-5000.0,,Marketing,Pune,2022-03-12,employee14@company.com
15.0,Employee_15,150.0,-5000.0,TechNova,,Pune,,employee15@company.com
16.0,Employee_16,45.0,30000.0,DataWorks,Marketing,Bangalore,2022-03-12,invalid_email
17.0,Employee_17,150.0,-5000.0,InnoSoft,Sales,Pune,,employee17@company.com
18.0,Employee_18,35.0,45000.0,DataWorks,,Bangalore,invalid_date,employee18@company.com
19.0,Employee_19,45.0,80000.0,TechNova,IT,Hyderabad,,employee19@company.com
20.0,Employee_20,25.0,30000.0,,Marketing,Pune,,employee20@company.com
21.0,Employee_21,150.0,45000.0,DataWorks,Sales,,2020-05-15,employee21@company.com
22.0,Employee_22,40.0,80000.0,,,Hyderabad,2022-03-12,employee22@company.com
23.0,Employee_23,25.0,60000.0,TechNova,Sales,Delhi,invalid_date,employee23@company.com
24.0,Employee_24,35.0,30000.0,TechNova,,Hyderabad,2019-01-10,employee24@company.com
25.0,Employee_25,150.0,45000.0,,Sales,,2020-05-15,employee25@company.com
26.0,Employee_26,25.0,,CloudNine,Finance,,2022-03-12,employee26@company.com
27.0,Employee_27,25.0,30000.0,CloudNine,,Hyderabad,,employee27@company.com
